Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,literacy_category,literacy_level,info
El Salvador,2009,All genders,15-24 year olds,Percent,95.02206,High,Satisfactory,El Salvador - Satisfactory
El Salvador,2010,All genders,15-24 year olds,Percent,96.03446,High,Satisfactory,El Salvador - Satisfactory
El Salvador,2011,All genders,15-24 year olds,Percent,96.54509,High,Satisfactory,El Salvador - Satisfactory
El Salvador,2013,All genders,15-24 year olds,Percent,97.22419,High,Satisfactory,El Salvador - Satisfactory
El Salvador,2015,All genders,15-24 year olds,Percent,97.6975,High,Satisfactory,El Salvador - Satisfactory
Equatorial Guinea,2000,All genders,15-24 year olds,Percent,97.13137,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2014,All genders,15-24 year olds,Percent,98.21599,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2015,All genders,15-24 year olds,Percent,98.26176,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2015,Male,15-24 year olds,Percent,97.72838,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2015,Female,15-24 year olds,Percent,98.80295,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2000,Male,15-24 year olds,Percent,97.6079,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2014,Male,15-24 year olds,Percent,97.7247,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2000,Female,15-24 year olds,Percent,96.62424,High,Satisfactory,Equatorial Guinea - Satisfactory
Equatorial Guinea,2014,Female,15-24 year olds,Percent,98.71456,High,Satisfactory,Equatorial Guinea - Satisfactory
Eritrea,2002,All genders,15-24 year olds,Percent,77.94529,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2014,All genders,15-24 year olds,Percent,92.55056,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2002,Female,15-24 year olds,Percent,69.4834,Medium,Satisfactory,Eritrea - Satisfactory
Eritrea,2014,Female,15-24 year olds,Percent,90.94104,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2015,Female,15-24 year olds,Percent,91.94731,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2015,All genders,15-24 year olds,Percent,93.27164,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2002,Male,15-24 year olds,Percent,86.25322,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2014,Male,15-24 year olds,Percent,94.12695,High,Satisfactory,Eritrea - Satisfactory
Eritrea,2015,Male,15-24 year olds,Percent,94.56623,High,Satisfactory,Eritrea - Satisfactory
Estonia,1989,Male,15-24 year olds,Percent,99.83402,High,Satisfactory,Estonia - Satisfactory
Estonia,2000,Male,15-24 year olds,Percent,99.7291,High,Satisfactory,Estonia - Satisfactory
Estonia,2011,Male,15-24 year olds,Percent,99.93924,High,Satisfactory,Estonia - Satisfactory
Estonia,2015,Male,15-24 year olds,Percent,99.96129,High,Satisfactory,Estonia - Satisfactory
Estonia,1989,All genders,15-24 year olds,Percent,99.86789,High,Satisfactory,Estonia - Satisfactory
Estonia,2000,All genders,15-24 year olds,Percent,99.7705,High,Satisfactory,Estonia - Satisfactory
Estonia,2011,All genders,15-24 year olds,Percent,99.9489,High,Satisfactory,Estonia - Satisfactory
Estonia,2015,All genders,15-24 year olds,Percent,99.96553,High,Satisfactory,Estonia - Satisfactory
Estonia,1989,Female,15-24 year olds,Percent,99.9045,High,Satisfactory,Estonia - Satisfactory
Estonia,2000,Female,15-24 year olds,Percent,99.81336,High,Satisfactory,Estonia - Satisfactory
Estonia,2011,Female,15-24 year olds,Percent,99.95904,High,Satisfactory,Estonia - Satisfactory
Estonia,2015,Female,15-24 year olds,Percent,99.97005,High,Satisfactory,Estonia - Satisfactory
Ethiopia,1994,Female,15-24 year olds,Percent,28.08017,Low,Needs Improvement,Ethiopia - Needs Improvement
Ethiopia,2004,Female,15-24 year olds,Percent,38.5,Low,Needs Improvement,Ethiopia - Needs Improvement
Ethiopia,2005,Female,15-24 year olds,Percent,33.29975,Low,Needs Improvement,Ethiopia - Needs Improvement
Ethiopia,2007,Female,15-24 year olds,Percent,47.04113,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,1994,All genders,15-24 year olds,Percent,33.5854,Low,Needs Improvement,Ethiopia - Needs Improvement
Ethiopia,2004,All genders,15-24 year olds,Percent,49.9,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2005,All genders,15-24 year olds,Percent,44.60597,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2007,All genders,15-24 year olds,Percent,54.98298,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2015,All genders,15-24 year olds,Percent,69.49176,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,1994,Male,15-24 year olds,Percent,39.28867,Low,Needs Improvement,Ethiopia - Needs Improvement
Ethiopia,2004,Male,15-24 year olds,Percent,62.2,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2005,Male,15-24 year olds,Percent,55.88474,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2015,Female,15-24 year olds,Percent,67.82325,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2007,Male,15-24 year olds,Percent,62.97093,Medium,Satisfactory,Ethiopia - Satisfactory
Ethiopia,2015,Male,15-24 year olds,Percent,71.1311,High,Satisfactory,Ethiopia - Satisfactory
French Guiana,1982,All genders,15-24 year olds,Percent,91.28732,High,Satisfactory,French Guiana - Satisfactory
Gabon,1993,Male,15-24 year olds,Percent,94.40755,High,Satisfactory,Gabon - Satisfactory
Gabon,2004,Male,15-24 year olds,Percent,97.79428,High,Satisfactory,Gabon - Satisfactory
Gabon,2012,Male,15-24 year olds,Percent,87.38959,High,Satisfactory,Gabon - Satisfactory
Gabon,2015,Male,15-24 year olds,Percent,87.76281,High,Satisfactory,Gabon - Satisfactory
Gabon,1993,Female,15-24 year olds,Percent,92.11402,High,Satisfactory,Gabon - Satisfactory
Gabon,2004,Female,15-24 year olds,Percent,95.59242,High,Satisfactory,Gabon - Satisfactory
Gabon,2012,Female,15-24 year olds,Percent,89.42925,High,Satisfactory,Gabon - Satisfactory
Gabon,2015,Female,15-24 year olds,Percent,90.50912,High,Satisfactory,Gabon - Satisfactory
Gabon,1993,All genders,15-24 year olds,Percent,93.20872,High,Satisfactory,Gabon - Satisfactory
Gabon,2004,All genders,15-24 year olds,Percent,96.70768,High,Satisfactory,Gabon - Satisfactory
Gabon,2012,All genders,15-24 year olds,Percent,88.50414,High,Satisfactory,Gabon - Satisfactory
Gabon,2015,All genders,15-24 year olds,Percent,89.12271,High,Satisfactory,Gabon - Satisfactory
Gambia,2000,Female,15-24 year olds,Percent,41.39434,Medium,Satisfactory,Gambia - Satisfactory
Gambia,2014,Female,15-24 year olds,Percent,69.14345,Medium,Satisfactory,Gambia - Satisfactory
Gambia,2015,Female,15-24 year olds,Percent,70.85195,High,Satisfactory,Gambia - Satisfactory
Gambia,2000,Male,15-24 year olds,Percent,64.34049,Medium,Satisfactory,Gambia - Satisfactory
Gambia,2014,Male,15-24 year olds,Percent,74.86325,High,Satisfactory,Gambia - Satisfactory
Gambia,2015,Male,15-24 year olds,Percent,75.56305,High,Satisfactory,Gambia - Satisfactory
Gambia,2000,All genders,15-24 year olds,Percent,52.55502,Medium,Satisfactory,Gambia - Satisfactory
Gambia,2014,All genders,15-24 year olds,Percent,71.98157,High,Satisfactory,Gambia - Satisfactory
Gambia,2015,All genders,15-24 year olds,Percent,73.19259,High,Satisfactory,Gambia - Satisfactory
Georgia,2002,Female,15-24 year olds,Percent,99.86236,High,Satisfactory,Georgia - Satisfactory
Georgia,2014,Female,15-24 year olds,Percent,99.85065,High,Satisfactory,Georgia - Satisfactory
Georgia,2015,Female,15-24 year olds,Percent,99.84956,High,Satisfactory,Georgia - Satisfactory
Georgia,2002,Male,15-24 year olds,Percent,99.78848,High,Satisfactory,Georgia - Satisfactory
Georgia,2014,Male,15-24 year olds,Percent,99.73954,High,Satisfactory,Georgia - Satisfactory
Georgia,2015,Male,15-24 year olds,Percent,99.73507,High,Satisfactory,Georgia - Satisfactory
Georgia,2002,All genders,15-24 year olds,Percent,99.82542,High,Satisfactory,Georgia - Satisfactory
Georgia,2014,All genders,15-24 year olds,Percent,99.79383,High,Satisfactory,Georgia - Satisfactory
Georgia,2015,All genders,15-24 year olds,Percent,99.79078,High,Satisfactory,Georgia - Satisfactory
Ghana,2000,Male,15-24 year olds,Percent,75.9459,High,Satisfactory,Ghana - Satisfactory
Ghana,2010,Male,15-24 year olds,Percent,88.31075,High,Satisfactory,Ghana - Satisfactory
Ghana,2015,Male,15-24 year olds,Percent,91.31941,High,Satisfactory,Ghana - Satisfactory
Ghana,2000,Female,15-24 year olds,Percent,65.48871,Medium,Satisfactory,Ghana - Satisfactory
Ghana,2010,Female,15-24 year olds,Percent,83.23453,High,Satisfactory,Ghana - Satisfactory
Ghana,2015,Female,15-24 year olds,Percent,89.85401,High,Satisfactory,Ghana - Satisfactory
Ghana,2000,All genders,15-24 year olds,Percent,70.66306,High,Satisfactory,Ghana - Satisfactory
Ghana,2010,All genders,15-24 year olds,Percent,85.71615,High,Satisfactory,Ghana - Satisfactory
Ghana,2015,All genders,15-24 year olds,Percent,90.60143,High,Satisfactory,Ghana - Satisfactory
Greece,1981,Female,15-24 year olds,Percent,98.88445,High,Satisfactory,Greece - Satisfactory
Greece,1991,Female,15-24 year olds,Percent,98.97938,High,Satisfactory,Greece - Satisfactory
Greece,2001,Female,15-24 year olds,Percent,98.99116,High,Satisfactory,Greece - Satisfactory
Greece,2005,Female,15-24 year olds,Percent,99.5248,High,Satisfactory,Greece - Satisfactory
Greece,2014,Female,15-24 year olds,Percent,99.33969,High,Satisfactory,Greece - Satisfactory
Greece,2015,Female,15-24 year olds,Percent,99.65413,High,Satisfactory,Greece - Satisfactory
Greece,1981,Male,15-24 year olds,Percent,99.04806,High,Satisfactory,Greece - Satisfactory
Greece,1991,Male,15-24 year olds,Percent,98.98843,High,Satisfactory,Greece - Satisfactory
Greece,2001,Male,15-24 year olds,Percent,98.89446,High,Satisfactory,Greece - Satisfactory
Greece,2005,Male,15-24 year olds,Percent,99.53356,High,Satisfactory,Greece - Satisfactory
Greece,2014,Male,15-24 year olds,Percent,99.50297,High,Satisfactory,Greece - Satisfactory
Greece,2015,Male,15-24 year olds,Percent,99.68973,High,Satisfactory,Greece - Satisfactory
Greece,1981,All genders,15-24 year olds,Percent,98.96705,High,Satisfactory,Greece - Satisfactory
Greece,1991,All genders,15-24 year olds,Percent,98.98399,High,Satisfactory,Greece - Satisfactory
Greece,2001,All genders,15-24 year olds,Percent,98.94053,High,Satisfactory,Greece - Satisfactory
Greece,2005,All genders,15-24 year olds,Percent,99.52918,High,Satisfactory,Greece - Satisfactory
Greece,2014,All genders,15-24 year olds,Percent,99.42333,High,Satisfactory,Greece - Satisfactory
Greece,2015,All genders,15-24 year olds,Percent,99.67237,High,Satisfactory,Greece - Satisfactory
Guadeloupe,1982,All genders,15-24 year olds,Percent,98.48752,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,1994,All genders,15-24 year olds,Percent,99.56125,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2004,All genders,15-24 year olds,Percent,99.85111,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2014,All genders,15-24 year olds,Percent,99.94801,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2015,All genders,15-24 year olds,Percent,99.9535,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,1982,Male,15-24 year olds,Percent,98.08893,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,1994,Male,15-24 year olds,Percent,99.47278,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2004,Male,15-24 year olds,Percent,99.82892,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2014,Male,15-24 year olds,Percent,99.94215,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2015,Male,15-24 year olds,Percent,99.94826,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,1982,Female,15-24 year olds,Percent,98.90453,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,1994,Female,15-24 year olds,Percent,99.65061,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2004,Female,15-24 year olds,Percent,99.87399,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2014,Female,15-24 year olds,Percent,99.95422,High,Satisfactory,Guadeloupe - Satisfactory
Guadeloupe,2015,Female,15-24 year olds,Percent,99.9591,High,Satisfactory,Guadeloupe - Satisfactory
Guam,1980,Female,15-24 year olds,Percent,95.9054,High,Satisfactory,Guam - Satisfactory
Guam,1990,Female,15-24 year olds,Percent,99.84762,High,Satisfactory,Guam - Satisfactory
Guam,2015,Female,15-24 year olds,Percent,99.97497,High,Satisfactory,Guam - Satisfactory
Guam,1980,Male,15-24 year olds,Percent,95.35726,High,Satisfactory,Guam - Satisfactory
Guam,1990,Male,15-24 year olds,Percent,99.9,High,Satisfactory,Guam - Satisfactory
Guam,2015,Male,15-24 year olds,Percent,99.99108,High,Satisfactory,Guam - Satisfactory
Guam,1980,All genders,15-24 year olds,Percent,95.61106,High,Satisfactory,Guam - Satisfactory
Guam,1990,All genders,15-24 year olds,Percent,99.88,High,Satisfactory,Guam - Satisfactory
Guam,2015,All genders,15-24 year olds,Percent,99.98333,High,Satisfactory,Guam - Satisfactory
Guatemala,1994,Male,15-24 year olds,Percent,81.72106,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2002,Male,15-24 year olds,Percent,86.37878,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2012,Male,15-24 year olds,Percent,95.46641,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2013,Male,15-24 year olds,Percent,94.18228,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2014,Male,15-24 year olds,Percent,95.48186,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2015,Male,15-24 year olds,Percent,95.49654,High,Satisfactory,Guatemala - Satisfactory
Guatemala,1994,All genders,15-24 year olds,Percent,75.98821,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2002,All genders,15-24 year olds,Percent,82.22026,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2012,All genders,15-24 year olds,Percent,93.65347,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2013,All genders,15-24 year olds,Percent,91.85192,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2014,All genders,15-24 year olds,Percent,94.35425,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2015,All genders,15-24 year olds,Percent,93.26274,High,Satisfactory,Guatemala - Satisfactory
Guatemala,1994,Female,15-24 year olds,Percent,70.72151,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2002,Female,15-24 year olds,Percent,78.39068,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2012,Female,15-24 year olds,Percent,91.94237,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2013,Female,15-24 year olds,Percent,89.77037,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2014,Female,15-24 year olds,Percent,93.26925,High,Satisfactory,Guatemala - Satisfactory
Guatemala,2015,Female,15-24 year olds,Percent,90.99931,High,Satisfactory,Guatemala - Satisfactory
Guinea,2015,Male,15-24 year olds,Percent,43.03479,Medium,Satisfactory,Guinea - Satisfactory
Guinea,1996,Female,15-24 year olds,Percent,13.4728,Low,Needs Improvement,Guinea - Needs Improvement
Guinea,2003,Female,15-24 year olds,Percent,34.06904,Low,Needs Improvement,Guinea - Needs Improvement
Guinea,2010,Female,15-24 year olds,Percent,21.79673,Low,Needs Improvement,Guinea - Needs Improvement
Guinea,2015,Female,15-24 year olds,Percent,47.50688,Medium,Satisfactory,Guinea - Satisfactory
Guinea,1996,All genders,15-24 year olds,Percent,27.71639,Low,Needs Improvement,Guinea - Needs Improvement
Guinea,2003,All genders,15-24 year olds,Percent,47.09126,Medium,Satisfactory,Guinea - Satisfactory
Guinea,2010,All genders,15-24 year olds,Percent,31.40642,Low,Needs Improvement,Guinea - Needs Improvement
Guinea,2015,All genders,15-24 year olds,Percent,45.2464,Medium,Satisfactory,Guinea - Satisfactory
Guinea,1996,Male,15-24 year olds,Percent,44.12005,Medium,Satisfactory,Guinea - Satisfactory
Guinea,2003,Male,15-24 year olds,Percent,59.46237,Medium,Satisfactory,Guinea - Satisfactory
Guinea,2010,Male,15-24 year olds,Percent,37.56715,Low,Needs Improvement,Guinea - Needs Improvement
Guinea-Bissau,1979,All genders,15-24 year olds,Percent,36.40142,Low,Needs Improvement,Guinea-Bissau - Needs Improvement
Guinea-Bissau,2000,All genders,15-24 year olds,Percent,59.49285,Medium,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2014,All genders,15-24 year olds,Percent,76.16048,High,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2015,All genders,15-24 year olds,Percent,77.13898,High,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,1979,Female,15-24 year olds,Percent,17.80347,Low,Needs Improvement,Guinea-Bissau - Needs Improvement
Guinea-Bissau,2000,Female,15-24 year olds,Percent,45.90365,Medium,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2014,Female,15-24 year olds,Percent,71.93733,High,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2015,Female,15-24 year olds,Percent,73.51182,High,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,1979,Male,15-24 year olds,Percent,59.69437,Medium,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2000,Male,15-24 year olds,Percent,74.80124,High,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2014,Male,15-24 year olds,Percent,80.38715,High,Satisfactory,Guinea-Bissau - Satisfactory
Guinea-Bissau,2015,Male,15-24 year olds,Percent,80.76795,High,Satisfactory,Guinea-Bissau - Satisfactory
Guyana,2009,Male,15-24 year olds,Percent,92.42121,High,Satisfactory,Guyana - Satisfactory
Guyana,2015,Male,15-24 year olds,Percent,94.0117,High,Satisfactory,Guyana - Satisfactory
Guyana,2009,Female,15-24 year olds,Percent,93.67022,High,Satisfactory,Guyana - Satisfactory
Guyana,2015,Female,15-24 year olds,Percent,94.73404,High,Satisfactory,Guyana - Satisfactory
Guyana,2009,All genders,15-24 year olds,Percent,93.09894,High,Satisfactory,Guyana - Satisfactory
Guyana,2015,All genders,15-24 year olds,Percent,94.3713,High,Satisfactory,Guyana - Satisfactory
Haiti,1982,All genders,15-24 year olds,Percent,51.15302,Medium,Satisfactory,Haiti - Satisfactory
Haiti,2003,All genders,15-24 year olds,Percent,81.61633,High,Satisfactory,Haiti - Satisfactory
Haiti,2006,All genders,15-24 year olds,Percent,72.34672,High,Satisfactory,Haiti - Satisfactory
Haiti,2015,All genders,15-24 year olds,Percent,82.0557,High,Satisfactory,Haiti - Satisfactory
Haiti,1982,Female,15-24 year olds,Percent,51.05302,Medium,Satisfactory,Haiti - Satisfactory
Haiti,2003,Female,15-24 year olds,Percent,80.68945,High,Satisfactory,Haiti - Satisfactory
Haiti,2006,Female,15-24 year olds,Percent,70.48078,High,Satisfactory,Haiti - Satisfactory
Haiti,2015,Female,15-24 year olds,Percent,81.57036,High,Satisfactory,Haiti - Satisfactory
Haiti,1982,Male,15-24 year olds,Percent,51.26135,Medium,Satisfactory,Haiti - Satisfactory
Haiti,2003,Male,15-24 year olds,Percent,82.65737,High,Satisfactory,Haiti - Satisfactory
Haiti,2006,Male,15-24 year olds,Percent,74.36741,High,Satisfactory,Haiti - Satisfactory
Haiti,2015,Male,15-24 year olds,Percent,82.53746,High,Satisfactory,Haiti - Satisfactory
Honduras,2001,Female,15-24 year olds,Percent,90.91032,High,Satisfactory,Honduras - Satisfactory
Honduras,2007,Female,15-24 year olds,Percent,95.05453,High,Satisfactory,Honduras - Satisfactory
Honduras,2010,Female,15-24 year olds,Percent,95.8775,High,Satisfactory,Honduras - Satisfactory
Honduras,2011,Female,15-24 year olds,Percent,96.92611,High,Satisfactory,Honduras - Satisfactory
Honduras,2012,Female,15-24 year olds,Percent,95.98721,High,Satisfactory,Honduras - Satisfactory
Honduras,2013,Female,15-24 year olds,Percent,96.29856,High,Satisfactory,Honduras - Satisfactory
Honduras,2014,Female,15-24 year olds,Percent,96.29226,High,Satisfactory,Honduras - Satisfactory
Honduras,2015,Female,15-24 year olds,Percent,98.14961,High,Satisfactory,Honduras - Satisfactory
Honduras,2001,All genders,15-24 year olds,Percent,88.94272,High,Satisfactory,Honduras - Satisfactory
Honduras,2007,All genders,15-24 year olds,Percent,93.92431,High,Satisfactory,Honduras - Satisfactory
Honduras,2010,All genders,15-24 year olds,Percent,95.15069,High,Satisfactory,Honduras - Satisfactory
Honduras,2011,All genders,15-24 year olds,Percent,95.925,High,Satisfactory,Honduras - Satisfactory
Honduras,2012,All genders,15-24 year olds,Percent,94.98095,High,Satisfactory,Honduras - Satisfactory
Honduras,2001,Male,15-24 year olds,Percent,86.89099,High,Satisfactory,Honduras - Satisfactory
Honduras,2007,Male,15-24 year olds,Percent,92.69526,High,Satisfactory,Honduras - Satisfactory
Honduras,2010,Male,15-24 year olds,Percent,94.44801,High,Satisfactory,Honduras - Satisfactory
Honduras,2011,Male,15-24 year olds,Percent,94.93144,High,Satisfactory,Honduras - Satisfactory
Honduras,2012,Male,15-24 year olds,Percent,94.00283,High,Satisfactory,Honduras - Satisfactory
Honduras,2013,Male,15-24 year olds,Percent,93.85074,High,Satisfactory,Honduras - Satisfactory
Honduras,2014,Male,15-24 year olds,Percent,95.04737,High,Satisfactory,Honduras - Satisfactory
Honduras,2015,Male,15-24 year olds,Percent,96.23662,High,Satisfactory,Honduras - Satisfactory
Honduras,2013,All genders,15-24 year olds,Percent,95.06649,High,Satisfactory,Honduras - Satisfactory
Honduras,2014,All genders,15-24 year olds,Percent,95.67707,High,Satisfactory,Honduras - Satisfactory
Honduras,2015,All genders,15-24 year olds,Percent,97.18387,High,Satisfactory,Honduras - Satisfactory
Hungary,1980,All genders,15-24 year olds,Percent,99.37115,High,Satisfactory,Hungary - Satisfactory
Hungary,1994,All genders,15-24 year olds,Percent,99.14558,High,Satisfactory,Hungary - Satisfactory
Hungary,2004,All genders,15-24 year olds,Percent,99.00162,High,Satisfactory,Hungary - Satisfactory
Hungary,2014,All genders,15-24 year olds,Percent,98.85228,High,Satisfactory,Hungary - Satisfactory
Hungary,2015,All genders,15-24 year olds,Percent,99.36122,High,Satisfactory,Hungary - Satisfactory
Hungary,1980,Male,15-24 year olds,Percent,99.42166,High,Satisfactory,Hungary - Satisfactory
Hungary,1994,Male,15-24 year olds,Percent,99.11068,High,Satisfactory,Hungary - Satisfactory
Hungary,2004,Male,15-24 year olds,Percent,98.91135,High,Satisfactory,Hungary - Satisfactory
Hungary,2014,Male,15-24 year olds,Percent,98.705,High,Satisfactory,Hungary - Satisfactory
Hungary,2015,Male,15-24 year olds,Percent,99.28065,High,Satisfactory,Hungary - Satisfactory
Hungary,1980,Female,15-24 year olds,Percent,99.31812,High,Satisfactory,Hungary - Satisfactory
Hungary,1994,Female,15-24 year olds,Percent,99.18211,High,Satisfactory,Hungary - Satisfactory
Hungary,2004,Female,15-24 year olds,Percent,99.09564,High,Satisfactory,Hungary - Satisfactory
Hungary,2014,Female,15-24 year olds,Percent,99.00635,High,Satisfactory,Hungary - Satisfactory
Hungary,2015,Female,15-24 year olds,Percent,99.44559,High,Satisfactory,Hungary - Satisfactory
India,1981,All genders,15-24 year olds,Percent,53.78457,Medium,Satisfactory,India - Satisfactory
India,1991,All genders,15-24 year olds,Percent,61.90028,Medium,Satisfactory,India - Satisfactory
India,2001,All genders,15-24 year olds,Percent,76.4257,High,Satisfactory,India - Satisfactory
India,2006,All genders,15-24 year olds,Percent,81.13086,High,Satisfactory,India - Satisfactory
India,2011,All genders,15-24 year olds,Percent,86.14488,High,Satisfactory,India - Satisfactory
India,2015,All genders,15-24 year olds,Percent,89.66406,High,Satisfactory,India - Satisfactory
India,1981,Male,15-24 year olds,Percent,66.31487,Medium,Satisfactory,India - Satisfactory
India,1991,Male,15-24 year olds,Percent,73.50972,High,Satisfactory,India - Satisfactory
India,2001,Male,15-24 year olds,Percent,84.19224,High,Satisfactory,India - Satisfactory
India,2006,Male,15-24 year olds,Percent,88.41184,High,Satisfactory,India - Satisfactory
India,2011,Male,15-24 year olds,Percent,90.04483,High,Satisfactory,India - Satisfactory
India,2015,Male,15-24 year olds,Percent,91.83516,High,Satisfactory,India - Satisfactory
India,2001,Female,15-24 year olds,Percent,67.74658,Medium,Satisfactory,India - Satisfactory
India,2006,Female,15-24 year olds,Percent,74.35573,High,Satisfactory,India - Satisfactory
India,2011,Female,15-24 year olds,Percent,81.84981,High,Satisfactory,India - Satisfactory
India,2015,Female,15-24 year olds,Percent,87.25669,High,Satisfactory,India - Satisfactory
India,1981,Female,15-24 year olds,Percent,40.32152,Medium,Satisfactory,India - Satisfactory
India,1991,Female,15-24 year olds,Percent,49.34919,Medium,Satisfactory,India - Satisfactory
Indonesia,1990,Male,15-24 year olds,Percent,97.40227,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2004,Male,15-24 year olds,Percent,98.86708,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2006,Male,15-24 year olds,Percent,97.02747,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2008,Male,15-24 year olds,Percent,99.53748,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2009,Male,15-24 year olds,Percent,99.55003,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2011,Male,15-24 year olds,Percent,98.80384,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2014,Male,15-24 year olds,Percent,99.68156,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2015,Male,15-24 year olds,Percent,99.69835,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2015,Female,15-24 year olds,Percent,99.7302,High,Satisfactory,Indonesia - Satisfactory
Indonesia,1980,Female,15-24 year olds,Percent,81.6484,High,Satisfactory,Indonesia - Satisfactory
Indonesia,1990,Female,15-24 year olds,Percent,95.06925,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2004,Female,15-24 year olds,Percent,98.54216,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2006,Female,15-24 year olds,Percent,96.27236,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2008,Female,15-24 year olds,Percent,99.38241,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2009,Female,15-24 year olds,Percent,99.39659,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2011,Female,15-24 year olds,Percent,98.7518,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2014,Female,15-24 year olds,Percent,99.67883,High,Satisfactory,Indonesia - Satisfactory
Indonesia,1980,Male,15-24 year olds,Percent,89.59121,High,Satisfactory,Indonesia - Satisfactory
Indonesia,1980,All genders,15-24 year olds,Percent,85.43709,High,Satisfactory,Indonesia - Satisfactory
Indonesia,1990,All genders,15-24 year olds,Percent,96.20756,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2004,All genders,15-24 year olds,Percent,98.70546,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2006,All genders,15-24 year olds,Percent,96.65104,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2008,All genders,15-24 year olds,Percent,99.46011,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2009,All genders,15-24 year olds,Percent,99.47374,High,Satisfactory,Indonesia - Satisfactory
Indonesia,2011,All genders,15-24 year olds,Percent,98.778,High,Satisfactory,Indonesia - Satisfactory
